Geom;DIAMETER_MM;INSTALLATION_DATE;LINING_MATERIAL;MATERIAL;geo_point_2d
"{""coordinates"": [[-123.13450580237955, 49.245754043314385], [-123.13372670019388, 49.245527197394516], [-123.1337213381211, 49.245525854315716], [-123.13371611271553, 49.245524241221425], [-123.13371102446304, 49.245522538015784], [-123.13370607312075, 49.24552065474677], [-123.13370125868866, 49.245518591414374], [-123.13369658116683, 49.24551634801864], [-123.13369217819374, 49.24551401435264], [-123.13368791213097, 49.24551150062333], [-123.13368378322134, 49.24550889678281], [-123.13367992861761, 49.24550611272002], [-123.13367621116703, 49.24550323854604], [-123.13367276802232, 49.245500184149854], [-123.13366959942631, 49.245497039483546], [-123.13366670537896, 49.245493804547145], [-123.13366394872749, 49.2454905694517], [-123.1336614663818, 49.24548715413412], [-123.13365939598015, 49.24548364838755], [-123.1336574629743, 49.24548014248195], [-123.13365580451688, 49.245476546306385], [-123.13365442060784, 49.24547285986078], [-123.13349304464701, 49.24499720745056], [-123.13331367143705, 49.244469834941405], [-123.13331215018908, 49.244466148649565], [-123.13331049179085, 49.244462552468335], [-123.13330855860754, 49.24445895660415], [-123.13330635088136, 49.24445545100909], [-123.13330386837018, 49.244451945731065], [-123.13330111155841, 49.24444862067422], [-123.13329821735438, 49.244445295775826], [-123.13329504884976, 49.244442151098596], [-123.13329160556034, 49.24443900673829], [-123.13328802536299, 49.244436042440604], [-123.133284170623, 49.244433168411895], [-123.13328017873299, 49.24443038449367], [-123.13327604993503, 49.24442778063796], [-123.13327164659445, 49.24442526705124], [-123.13326710634593, 49.24442293352698], [-123.13326229155477, 49.24442069027162], [-123.13325747727238, 49.244418635915444], [-123.13325252581569, 49.24441666267442], [-123.1332473000584, 49.244414869654285], [-123.13324207478557, 49.24441325653812], [-123.1327237095778, 49.24426634031986]], ""type"": ""LineString""}";1800;1967-01-01;blank;Steel;49.24504929011735, -123.13357758153259
"{""coordinates"": [[-123.1202672276673, 49.25334848415633], [-123.12030001886762, 49.25246202472587], [-123.12033357053944, 49.251538396085415]], ""type"": ""LineString""}";600;1998-01-01;;Ductile Iron Concrete Lined;49.25244344562916, -123.12030054936264
"{""coordinates"": [[-123.21066325387665, 49.262982920008064], [-123.20931896523842, 49.26296061738828]], ""type"": ""LineString""}";450;1963-01-01;Cement Lined;Cast Iron;49.26297176869818, -123.20999110955752
"{""coordinates"": [[-123.1315034115921, 49.259758413336094], [-123.13144472416239, 49.259757490644624]], ""type"": ""LineString""}";450;1961-01-01;blank;Cast Iron;49.25975795199036, -123.13147406787725
"{""coordinates"": [[-123.16418320911527, 49.25640193928253], [-123.1646863011724, 49.25705517575419]], ""type"": ""LineString""}";900;1968-01-01;blank;Steel;49.25672855751836, -123.16443475514384
"{""coordinates"": [[-123.15352929938888, 49.24214394500546], [-123.15356764840124, 49.24201687222135]], ""type"": ""LineString""}";1200;1939-01-01;blank;Steel;49.242080408613404, -123.15354847389506
"{""coordinates"": [[-123.15356764840124, 49.24201687222135], [-123.15357417653077, 49.24199545486694]], ""type"": ""LineString""}";600;1939-01-01;blank;Steel;49.24200616354415, -123.15357091246601
"{""coordinates"": [[-123.12951150622403, 49.20440956741095], [-123.12841317510214, 49.20301300493747], [-123.12703494440157, 49.20152905365957], [-123.12708753411587, 49.201416554504895]], ""type"": ""LineString""}";700;1956-01-01;blank;<blank>;49.20289754657278, -123.12826345889715
"{""coordinates"": [[-123.12701543104058, 49.20140314985638], [-123.1259603303604, 49.20032721647362]], ""type"": ""LineString""}";450;;blank;<blank>;49.20086518316501, -123.1264878807005
"{""coordinates"": [[-123.07379675433617, 49.28027749284804], [-123.0760338574576, 49.28030661707859]], ""type"": ""LineString""}";750;1985-01-01;blank;Concrete;49.28029205496331, -123.0749153058969
