SUBSYSTEM;SIZE;OPEN_IND;X_OFFSET_FROM_PROP_LINE_M;X_OFFSET_DIRECTION;Y_OFFSET_FROM_PROP_LINE_M;Y_OFFSET_DIRECTION;Geom;Geo Local Area;geo_point_2d
Distribution;SMALL;OPEN;11.0;E;3.4;N;"{""coordinates"": [-123.15323918603347, 49.25742263848782], ""type"": ""Point""}";Kitsilano;49.25742263848782, -123.15323918603347
Distribution;SMALL;OPEN;8.5;E;0.0;S;"{""coordinates"": [-123.1624638483902, 49.26292298636072], ""type"": ""Point""}";Kitsilano;49.26292298636072, -123.1624638483902
Distribution;SMALL;OPEN;5.8;W;0.0;S;"{""coordinates"": [-123.10790976346999, 49.236408995051654], ""type"": ""Point""}";Riley Park;49.236408995051654, -123.10790976346999
Distribution;SMALL;OPEN;7.6;E;0.0;S;"{""coordinates"": [-123.07286074374365, 49.23465879412856], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23465879412856, -123.07286074374365
Distribution;SMALL;OPEN;7.6;E;91.4;S;"{""coordinates"": [-123.07288751568386, 49.23383676424347], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23383676424347, -123.07288751568386
Distribution;SMALL;OPEN;12.2;E;9.1;N;"{""coordinates"": [-123.12112384368723, 49.20837131777509], ""type"": ""Point""}";Marpole;49.20837131777509, -123.12112384368723
Distribution;SMALL;OPEN;4.3;E;0.0;S;"{""coordinates"": [-123.02365816697372, 49.285587240443576], ""type"": ""Point""}";Hastings-Sunrise;49.285587240443576, -123.02365816697372
Distribution;SMALL;OPEN;0.0;E;6.7;N;"{""coordinates"": [-123.02685874079243, 49.24328834590817], ""type"": ""Point""}";Renfrew-Collingwood;49.24328834590817, -123.02685874079243
Distribution;SMALL;OPEN;1.8;W;0.0;S;"{""coordinates"": [-123.02765979067422, 49.24247433987946], ""type"": ""Point""}";Renfrew-Collingwood;49.24247433987946, -123.02765979067422
Distribution;SMALL;OPEN;5.5;E;0.0;S;"{""coordinates"": [-123.16010266608338, 49.263807246159416], ""type"": ""Point""}";Kitsilano;49.263807246159416, -123.16010266608338
