DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom;geo_point_2d
200;1987-01-01;Ductile Iron;"{""coordinates"": [[-123.11762484302865, 49.25881680712938], [-123.11762757835514, 49.258741802249894]], ""type"": ""LineString""}";49.25877930468964, -123.1176262106919
150;1945-01-01;Cast Iron;"{""coordinates"": [[-123.13767426605827, 49.21976469012693], [-123.13766571724689, 49.21989558158138]], ""type"": ""LineString""}";49.21983013585415, -123.13766999165259
100;1908-01-01;Cast Iron;"{""coordinates"": [[-123.11572524421804, 49.25943358424493], [-123.1151890922097, 49.25942520576529]], ""type"": ""LineString""}";49.259429395005114, -123.11545716821387
150;1959-01-01;Cast Iron;"{""coordinates"": [[-123.09434766088292, 49.250198224456724], [-123.09413836703523, 49.25019495001174]], ""type"": ""LineString""}";49.25019658723423, -123.09424301395907
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.18745529366406, 49.27040168049757], [-123.18741005129345, 49.270400998291436]], ""type"": ""LineString""}";49.2704013393945, -123.18743267247875
150;1958-01-01;Cast Iron;"{""coordinates"": [[-123.11665849441393, 49.22819599115597], [-123.11665831303408, 49.228200623899]], ""type"": ""LineString""}";49.228198307527485, -123.116658403724
50;1970-01-01;Copper;"{""coordinates"": [[-123.1131721435924, 49.27064010766543], [-123.113594744503, 49.27059380847906], [-123.11360024146354, 49.270593083459126], [-123.11360587671547, 49.270592718110784], [-123.11361151258697, 49.270592622617386], [-123.11361714928475, 49.27059288693075], [-123.11362278660233, 49.27059342109907], [-123.11362828728107, 49.270594315209294], [-123.1136336511145, 49.27059547930973], [-123.11363874084394, 49.2705970034873], [-123.1136436937282, 49.27059879765508], [-123.11364837230207, 49.27060086194834], [-123.11365277656552, 49.2706031963671], [-123.11365690631196, 49.27060571095961], [-123.1136606242827, 49.270608495812894], [-123.11366393027106, 49.270611460975246], [-123.11366696174235, 49.27061460631144], [-123.11366944376583, 49.270617932092016], [-123.11367151360012, 49.27062134823], [-123.1136730339864, 49.27062494481239], [-123.11367414197667, 49.27062854180046], [-123.1136748377775, 49.27063222914601], [-123.11367498371665, 49.27063591703252], [-123.11367457979405, 49.270639605459984], [-123.11379099447886, 49.27104382488636]], ""type"": ""LineString""}";49.270715129764255, -123.11356666960357
40;1970-01-01;Copper;"{""coordinates"": [[-123.11381379751828, 49.271096424315935], [-123.11383107190126, 49.271135977160064]], ""type"": ""LineString""}";49.271116200738, -123.11382243470976
40;1970-01-01;Copper;"{""coordinates"": [[-123.11383107190126, 49.271135977160064], [-123.1138483463326, 49.27117553899645], [-123.11391158112356, 49.27117547667311], [-123.11391173852788, 49.27124383999559], [-123.11384850364956, 49.27124390231909], [-123.11384855436368, 49.271265940495276]], ""type"": ""LineString""}";49.27120456163556, -123.11387898810281
20;1970-01-01;Copper;"{""coordinates"": [[-123.11381034222703, 49.27108833204426], [-123.11364263285843, 49.271088497113645]], ""type"": ""LineString""}";49.27108841457895, -123.11372648754272
200;1985-01-01;Ductile Iron;"{""coordinates"": [[-123.11488873826583, 49.26230666179899], [-123.11486743366612, 49.262306233221125]], ""type"": ""LineString""}";49.262306447510056, -123.11487808596597
200;1985-01-01;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.11472003446558, 49.263335422421356], [-123.11472200751918, 49.263297190833335]], ""type"": ""LineString""}";49.263316306627345, -123.11472102099239
200;1966-01-01;Cast Iron;"{""coordinates"": [[-123.20568668770214, 49.272148970336744], [-123.20571657909291, 49.27143287226102]], ""type"": ""LineString""}";49.27179092129889, -123.20570163339752
150;1925-01-01;Cast Iron;"{""coordinates"": [[-123.14486607639125, 49.22893395695101], [-123.14486827787785, 49.22887421665386]], ""type"": ""LineString""}";49.22890408680243, -123.14486717713457
150;1987-01-01;Ductile Iron;"{""coordinates"": [[-123.20571857890617, 49.27138485232271], [-123.20572258261085, 49.27131954903665]], ""type"": ""LineString""}";49.27135220067968, -123.20572058075851
200;1965-01-01;Cast Iron;"{""coordinates"": [[-123.10317951973485, 49.26111923505322], [-123.1030210191035, 49.26111653400344]], ""type"": ""LineString""}";49.26111788452833, -123.10310026941917
200;;Cast Iron;"{""coordinates"": [[-123.10302983523434, 49.26020185716195], [-123.10302459804326, 49.26032689526596]], ""type"": ""LineString""}";49.260264376213954, -123.1030272166388
100;;Cast Iron;"{""coordinates"": [[-123.08344062761225, 49.25782745708831], [-123.08161692342759, 49.257815464842466]], ""type"": ""LineString""}";49.25782146096539, -123.08252877551992
600;1975-01-01;Steel;"{""coordinates"": [[-123.07703330741099, 49.279787374032814], [-123.07701680848871, 49.27978738503082], [-123.07701743106797, 49.2797545522103], [-123.07703392997928, 49.279754541212185]], ""type"": ""LineString""}";49.27977096586713, -123.07702125447639
200;1960-01-01;Cast Iron;"{""coordinates"": [[-123.07586854857247, 49.2765858778421], [-123.07585550018575, 49.27659398207493]], ""type"": ""LineString""}";49.27658992995852, -123.07586202437912
300;1938-01-01;Cast Iron;"{""coordinates"": [[-123.12530140766415, 49.27780972857335], [-123.12562541244701, 49.27759556122589]], ""type"": ""LineString""}";49.27770264489962, -123.12546341005557
300;1998-01-01;Ductile Iron;"{""coordinates"": [[-123.082284139186, 49.28261549006223], [-123.08221230817193, 49.28262284527261]], ""type"": ""LineString""}";49.28261916766742, -123.08224822367896
300;1998-01-01;Ductile Iron;"{""coordinates"": [[-123.0813864754993, 49.28271496478069], [-123.08128770084642, 49.28272627827673]], ""type"": ""LineString""}";49.28272062152871, -123.08133708817286
200;1930-01-01;Cast Iron;"{""coordinates"": [[-123.20279553830134, 49.271289669130056], [-123.20280297221375, 49.27112459416031]], ""type"": ""LineString""}";49.271207131645184, -123.20279925525755
200;;Cast Iron;"{""coordinates"": [[-123.10302301695704, 49.26035963924366], [-123.10302459804326, 49.26032689526596]], ""type"": ""LineString""}";49.26034326725481, -123.10302380750015
150;1925-01-01;Cast Iron;"{""coordinates"": [[-123.1415596094666, 49.22890571811431], [-123.14150324281857, 49.23055111930996]], ""type"": ""LineString""}";49.229728418712135, -123.14153142614259
200;1960-01-01;Cast Iron;"{""coordinates"": [[-123.0937567321735, 49.255603160966466], [-123.0937610501039, 49.25548130823807]], ""type"": ""LineString""}";49.25554223460227, -123.09375889113869
150;1925-01-01;Cast Iron;"{""coordinates"": [[-123.14156252606413, 49.228825665702885], [-123.14156218480187, 49.228836019667796]], ""type"": ""LineString""}";49.22883084268534, -123.14156235543301
200;1929-01-01;Cast Iron;"{""coordinates"": [[-123.15827917058934, 49.236517098003965], [-123.15804968109636, 49.23651361620344]], ""type"": ""LineString""}";49.2365153571037, -123.15816442584284
150;1925-01-01;Cast Iron;"{""coordinates"": [[-123.14351366594703, 49.227120068013434], [-123.14351336213838, 49.22712898269841]], ""type"": ""LineString""}";49.22712452535592, -123.1435135140427
800;1939-01-01;Steel;"{""coordinates"": [[-123.16515971411168, 49.257656720894495], [-123.16475901524008, 49.25742702439541], [-123.16475324294566, 49.25742694267455]], ""type"": ""LineString""}";49.257540454370144, -123.1649568557879
200;1958-01-01;Cast Iron;"{""coordinates"": [[-123.152699813334, 49.22419338285268], [-123.15268060148809, 49.22419835564554]], ""type"": ""LineString""}";49.224195869249115, -123.15269020741103
450;1938-01-01;Steel;"{""coordinates"": [[-123.11883673630494, 49.28210228498654], [-123.11884291373934, 49.28209814085164]], ""type"": ""LineString""}";49.28210021291909, -123.11883982502215
450;1938-01-01;Steel;"{""coordinates"": [[-123.11889786391129, 49.28206065538927], [-123.11890921634851, 49.28205291684994]], ""type"": ""LineString""}";49.28205678611961, -123.1189035401299
200;1930-01-01;Cast Iron;"{""coordinates"": [[-123.20280297221375, 49.27112459416031], [-123.20284558888929, 49.27017954650316]], ""type"": ""LineString""}";49.270652070331735, -123.20282428055151
200;1947-01-01;Cast Iron;"{""coordinates"": [[-123.1150552868022, 49.28327089745827], [-123.11517694901862, 49.283188866186144]], ""type"": ""LineString""}";49.28322988182221, -123.1151161179104
300;;Cast Iron;"{""coordinates"": [[-123.13474265674228, 49.23703181864395], [-123.1347432983346, 49.23701517668506]], ""type"": ""LineString""}";49.23702349766451, -123.13474297753844
150;1927-01-01;Cast Iron;"{""coordinates"": [[-123.18932440436917, 49.24147649964085], [-123.19072993290101, 49.2414833538768]], ""type"": ""LineString""}";49.24147992675882, -123.19002716863508
200;1962-01-01;Cast Iron;"{""coordinates"": [[-123.16449170866203, 49.26737402180082], [-123.16440878535401, 49.26737532719101]], ""type"": ""LineString""}";49.267374674495905, -123.164450247008
200;1962-01-01;Cast Iron;"{""coordinates"": [[-123.1483783340221, 49.258193100015966], [-123.14838284337344, 49.25805610606933]], ""type"": ""LineString""}";49.258124603042646, -123.14838058869776
200;1962-01-01;Cast Iron;"{""coordinates"": [[-123.14838284337344, 49.25805610606933], [-123.14838474977144, 49.25800438112399]], ""type"": ""LineString""}";49.258030243596664, -123.14838379657243
200;;Steel;"{""coordinates"": [[-123.09831879814247, 49.27357019449402], [-123.0983180088765, 49.273588095593816]], ""type"": ""LineString""}";49.27357914504392, -123.0983184035095
300;;Cast Iron;"{""coordinates"": [[-123.07714227557302, 49.281386994856796], [-123.0771375737895, 49.28137854252915]], ""type"": ""LineString""}";49.28138276869297, -123.07713992468126
300;1952-01-01;Cast Iron;"{""coordinates"": [[-123.11891720974698, 49.20933090762901], [-123.11880598642713, 49.20937671816268]], ""type"": ""LineString""}";49.20935381289584, -123.11886159808705
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.10614431529774, 49.21845617649651], [-123.10616450025638, 49.2178272981235]], ""type"": ""LineString""}";49.218141737310006, -123.10615440777708
150;;Cast Iron;"{""coordinates"": [[-123.10160252079727, 49.2814650173486], [-123.10111275336206, 49.28145474269233]], ""type"": ""LineString""}";49.28145988002046, -123.10135763707967
300;1942-01-01;Cast Iron;"{""coordinates"": [[-123.11383799509578, 49.26826003501711], [-123.11375701315882, 49.26829981958367]], ""type"": ""LineString""}";49.268279927300384, -123.11379750412728
250;1926-01-01;Cast Iron;"{""coordinates"": [[-123.15162098277749, 49.242125371446726], [-123.15125963673803, 49.242119080699325]], ""type"": ""LineString""}";49.24212222607303, -123.15144030975776
300;1961-01-01;Cast Iron;"{""coordinates"": [[-123.12412081470198, 49.20714314802273], [-123.12427895907109, 49.207077582179]], ""type"": ""LineString""}";49.20711036510087, -123.12419988688656
200;1966-01-01;Cast Iron;"{""coordinates"": [[-123.19402437711814, 49.25828131350858], [-123.19402502399485, 49.25825350819838]], ""type"": ""LineString""}";49.25826741085348, -123.19402470055651
150;1927-01-01;Cast Iron;"{""coordinates"": [[-123.2121426708597, 49.25928708300959], [-123.20944326427156, 49.259253643338035]], ""type"": ""LineString""}";49.25927036317381, -123.21079296756562
300;1967-01-01;Cast Iron;"{""coordinates"": [[-123.18675943965334, 49.23480823163223], [-123.18607341013659, 49.234806064389744]], ""type"": ""LineString""}";49.23480714801099, -123.18641642489496
300;1972-01-01;Ductile Iron;"{""coordinates"": [[-123.08964345137699, 49.28022972033535], [-123.0896440707213, 49.28021489579934]], ""type"": ""LineString""}";49.280222308067344, -123.08964376104915
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.13245744246136, 49.23423880037635], [-123.1324609393971, 49.23415954818563]], ""type"": ""LineString""}";49.23419917428099, -123.13245919092924
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.12207980626313, 49.21028590369824], [-123.12043236550919, 49.21026419139655]], ""type"": ""LineString""}";49.210275047547405, -123.12125608588616
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.09822629635994, 49.25569328559876], [-123.09666446546208, 49.25566990201133]], ""type"": ""LineString""}";49.25568159380504, -123.09744538091103
450;1929-01-01;Steel;"{""coordinates"": [[-123.12785859846325, 49.237694218015726], [-123.1280999862871, 49.237702397141575]], ""type"": ""LineString""}";49.237698307578654, -123.12797929237517
300;1949-01-01;Cast Iron;"{""coordinates"": [[-123.12786114508961, 49.23761640630545], [-123.1278591094145, 49.2376792853393]], ""type"": ""LineString""}";49.23764784582237, -123.12786012725206
450;1967-01-01;Steel;"{""coordinates"": [[-123.11443622750626, 49.259473664511766], [-123.11309781121791, 49.25945210758488]], ""type"": ""LineString""}";49.259462886048325, -123.11376701936207
600;1969-01-01;Steel;"{""coordinates"": [[-123.07749127837589, 49.25927721217353], [-123.07748894761446, 49.25935102844342]], ""type"": ""LineString""}";49.259314120308474, -123.07749011299518
300;;Cast Iron;"{""coordinates"": [[-123.09982140950744, 49.280298176964415], [-123.09982155501201, 49.28029533436196]], ""type"": ""LineString""}";49.28029675566319, -123.09982148225971
300;;Cast Iron;"{""coordinates"": [[-123.09987578011273, 49.27919136297745], [-123.09989708856428, 49.2787476932018]], ""type"": ""LineString""}";49.278969528089625, -123.0998864343385
300;;Cast Iron;"{""coordinates"": [[-123.09997901924619, 49.276898311564416], [-123.09998297067206, 49.2768194923345]], ""type"": ""LineString""}";49.27685890194946, -123.09998099495913
100;;Cast Iron;"{""coordinates"": [[-123.09982017481236, 49.28042896794094], [-123.09983131226723, 49.28042922817457]], ""type"": ""LineString""}";49.28042909805775, -123.0998257435398
200;1964-01-01;Cast Iron;"{""coordinates"": [[-123.18208888823334, 49.25800788323201], [-123.18193941678457, 49.25800739908811]], ""type"": ""LineString""}";49.25800764116006, -123.18201415250894
200;1964-01-01;Cast Iron;"{""coordinates"": [[-123.18030847541971, 49.257982124658874], [-123.1802792835108, 49.257981675475406]], ""type"": ""LineString""}";49.257981900067136, -123.18029387946525
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.17046890362268, 49.25873515502405], [-123.17209483521259, 49.25876060280314]], ""type"": ""LineString""}";49.258747878913596, -123.17128186941764
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.12616106689292, 49.21821113995339], [-123.12613287180491, 49.21904629228695]], ""type"": ""LineString""}";49.218628716120165, -123.12614696934892
300;1952-01-01;Cast Iron;"{""coordinates"": [[-123.12376021057743, 49.219188888176674], [-123.12376848779473, 49.21901156441934]], ""type"": ""LineString""}";49.219100226298, -123.12376434918608
200;1965-01-01;Cast Iron;"{""coordinates"": [[-123.10173396371299, 49.22677180135681], [-123.1017350914098, 49.226752451551995]], ""type"": ""LineString""}";49.2267621264544, -123.10173452756139
150;1953-01-01;Cast Iron;"{""coordinates"": [[-123.10184566732785, 49.22475455972533], [-123.10187451019347, 49.224755433819006]], ""type"": ""LineString""}";49.22475499677217, -123.10186008876066
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.10194753686477, 49.222894716188], [-123.10185277225644, 49.2228924520176]], ""type"": ""LineString""}";49.2228935841028, -123.10190015456062
150;1953-01-01;Cast Iron;"{""coordinates"": [[-123.10191706930291, 49.22474775030162], [-123.10187451019347, 49.224755433819006]], ""type"": ""LineString""}";49.224751592060315, -123.10189578974821
200;1965-01-01;Cast Iron;"{""coordinates"": [[-123.1017350914098, 49.226752451551995], [-123.10173291860035, 49.22669758235815]], ""type"": ""LineString""}";49.22672501695507, -123.10173400500507
200;1946-01-01;Cast Iron;"{""coordinates"": [[-123.1107739838042, 49.22911061102522], [-123.11077397173773, 49.22910521388071]], ""type"": ""LineString""}";49.22910791245296, -123.11077397777096
150;1944-01-01;Cast Iron;"{""coordinates"": [[-123.10795152130206, 49.23380431824668], [-123.10794715283764, 49.233804178404725]], ""type"": ""LineString""}";49.233804248325704, -123.10794933706984
150;1966-01-01;Cast Iron;"{""coordinates"": [[-123.10553887884701, 49.23450549665468], [-123.10556238430568, 49.23381678968794]], ""type"": ""LineString""}";49.234161143171306, -123.10555063157635
100;1908-01-01;Cast Iron;"{""coordinates"": [[-123.10953298122642, 49.26033656916298], [-123.10952616302497, 49.260335972947416]], ""type"": ""LineString""}";49.260336271055195, -123.1095295721257
150;1927-01-01;Cast Iron;"{""coordinates"": [[-123.17860958413843, 49.24143557876679], [-123.17852989997418, 49.241435297148556]], ""type"": ""LineString""}";49.241435437957676, -123.17856974205631
450;1929-01-01;Steel;"{""coordinates"": [[-123.12199775378132, 49.23749213603881], [-123.12256570501197, 49.23751159426968]], ""type"": ""LineString""}";49.23750186515424, -123.12228172939663
150;1939-01-01;Cast Iron;"{""coordinates"": [[-123.07750230492418, 49.25866559331634], [-123.0775064278942, 49.258665590550606], [-123.07751055086426, 49.258665587784705]], ""type"": ""LineString""}";49.258665590550564, -123.07750642789422
300;;Cast Iron;"{""coordinates"": [[-123.09302432045297, 49.262573522505974], [-123.09202582658992, 49.26256855617687]], ""type"": ""LineString""}";49.262571039341424, -123.09252507352144
300;1984-01-01;Ductile Iron;"{""coordinates"": [[-123.10339683797412, 49.27770800066404], [-123.10386908701648, 49.27771476426943]], ""type"": ""LineString""}";49.277711382466734, -123.1036329624953
300;1984-01-01;Ductile Iron;"{""coordinates"": [[-123.10386908701648, 49.27771476426943], [-123.10391580738303, 49.27770301952823]], ""type"": ""LineString""}";49.27770889189883, -123.10389244719977
150;;Cast Iron;"{""coordinates"": [[-123.10291298574167, 49.26310966257659], [-123.10291820788325, 49.26298372503101]], ""type"": ""LineString""}";49.2630466938038, -123.10291559681247
250;1926-01-01;Cast Iron;"{""coordinates"": [[-123.13792960785825, 49.23432044196067], [-123.13713420163448, 49.234297659429046]], ""type"": ""LineString""}";49.23430905069486, -123.13753190474637
300;1963-01-01;Cast Iron;"{""coordinates"": [[-123.13486968098795, 49.23427553447648], [-123.13479418533842, 49.234346235328665]], ""type"": ""LineString""}";49.23431088490257, -123.13483193316318
300;1929-01-01;Cast Iron;"{""coordinates"": [[-123.13468839266399, 49.234237246299735], [-123.13479540997655, 49.234240989437005]], ""type"": ""LineString""}";49.23423911786836, -123.13474190132027
300;1929-01-01;Cast Iron;"{""coordinates"": [[-123.1334078823215, 49.23419271244129], [-123.13452010503241, 49.23423141556494]], ""type"": ""LineString""}";49.23421206400312, -123.13396399367696
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.13323373355963, 49.208354907780844], [-123.13323411909138, 49.20834510246598]], ""type"": ""LineString""}";49.20835000512341, -123.13323392632553
200;1909-01-01;Cast Iron;"{""coordinates"": [[-123.08728194193415, 49.25877275952943], [-123.08727237619071, 49.259583127429536]], ""type"": ""LineString""}";49.259177943479486, -123.08727715906244
100;;Cast Iron;"{""coordinates"": [[-123.08513447412068, 49.25784698233526], [-123.0834653654651, 49.25782770907647]], ""type"": ""LineString""}";49.257837345705866, -123.08429991979288
200;1957-01-01;Cast Iron;"{""coordinates"": [[-123.07759914533287, 49.25951061948695], [-123.07759672149773, 49.259630167472196]], ""type"": ""LineString""}";49.25957039347958, -123.07759793341529
200;1960-01-01;Cast Iron;"{""coordinates"": [[-123.09678322824188, 49.248662298602085], [-123.09672477529696, 49.248661798845625]], ""type"": ""LineString""}";49.24866204872386, -123.09675400176943
200;1960-01-01;Cast Iron;"{""coordinates"": [[-123.092075638421, 49.24860631907295], [-123.09198426702802, 49.2486077411418]], ""type"": ""LineString""}";49.24860703010737, -123.0920299527245
300;1979-01-01;Ductile Iron;"{""coordinates"": [[-123.11687693771339, 49.21315621255902], [-123.11687688514495, 49.21315721108888]], ""type"": ""LineString""}";49.21315671182395, -123.11687691142915
600;1959-01-01;Steel;"{""coordinates"": [[-123.10677135462868, 49.24090009234957], [-123.10672966654312, 49.240871795859846], [-123.10668645568799, 49.24084449023778], [-123.10664188672875, 49.24081808537726], [-123.10659594631404, 49.24079276119391], [-123.10654862051125, 49.240768427746495], [-123.10650021173507, 49.24074516571174], [-123.10645056909529, 49.24072308317022], [-123.10639982956648, 49.24070199109413], [-123.1063479937265, 49.24068215933877], [-123.10629506118657, 49.24066340799817], [-123.10624130707555, 49.24064590772746], [-123.10618673123591, 49.240629586563685], [-123.10613119626316, 49.240614435636665], [-123.10607497732303, 49.240600643592465], [-123.1060180739878, 49.24058801253519], [-123.10596048663892, 49.24057672236825], [-123.10590248988227, 49.24056670087705], [-123.1058438091227, 49.24055802926971], [-123.10578485630954, 49.24055061721553], [-123.10513635674117, 49.24053095192586]], ""type"": ""LineString""}";49.24063025212364, -123.10597626387582
600;1959-01-01;Steel;"{""coordinates"": [[-123.11114795494221, 49.244676042719476], [-123.1111324076892, 49.244666342821425], [-123.11111699765391, 49.244656561832166], [-123.11110172479604, 49.244646681761296], [-123.11108658893394, 49.24463662165195], [-123.11107159047123, 49.24462656140851], [-123.1110567292061, 49.244616411078894], [-123.11104200513856, 49.24460617066309], [-123.11102741826855, 49.24459584016119], [-123.1110129685961, 49.244585419573255], [-123.11099865612121, 49.244574908899274], [-123.11098461825708, 49.244564317002606], [-123.11097058017721, 49.24455362615681], [-123.11095667929489, 49.244542845225176], [-123.11094305320456, 49.24453206402795], [-123.11092942671715, 49.24452110292477], [-123.1109160750216, 49.244510141556134], [-123.11090286032199, 49.244499000149716], [-123.11088978302114, 49.24448785860988], [-123.1108768429176, 49.24447662698451]], ""type"": ""LineString""}";49.244580072065006, -123.11100964302433
450;1928-01-01;Steel;"{""coordinates"": [[-123.11716887225556, 49.28319738792949], [-123.11735751579417, 49.28307260431186]], ""type"": ""LineString""}";49.28313499612068, -123.11726319402487
150;1984-01-01;<blank>;"{""coordinates"": [[-123.11698135200447, 49.28851132266152], [-123.11705240609928, 49.28840670887147], [-123.11585316041426, 49.28805893189475]], ""type"": ""LineString""}";49.28825362239308, -123.1165046602057
200;1892-01-01;Cast Iron;"{""coordinates"": [[-123.09967936264812, 49.27773145255566], [-123.09968291928874, 49.27764748844302]], ""type"": ""LineString""}";49.27768947049934, -123.09968114096843
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.13635621090445, 49.234119044080835], [-123.13635049522449, 49.23427826681335]], ""type"": ""LineString""}";49.23419865544709, -123.13635335306446
150;1952-01-01;Cast Iron;"{""coordinates"": [[-123.12112303053067, 49.2083868984754], [-123.12112175954732, 49.20841177179343]], ""type"": ""LineString""}";49.208399335134416, -123.121122395039
150;;Cast Iron;"{""coordinates"": [[-123.07552706583162, 49.26871307887675], [-123.07592915493994, 49.26871551390448]], ""type"": ""LineString""}";49.26871429639061, -123.07572811038578
150;;Cast Iron;"{""coordinates"": [[-123.07592915493994, 49.26871551390448], [-123.07619112943154, 49.26871712250118]], ""type"": ""LineString""}";49.268716318202834, -123.07606014218574
150;;Cast Iron;"{""coordinates"": [[-123.07619112943154, 49.26871712250118], [-123.0771512030578, 49.26872288101287]], ""type"": ""LineString""}";49.268720001757025, -123.07667116624467
300;;Cast Iron;"{""coordinates"": [[-123.0774310970958, 49.267965657960715], [-123.07741922913267, 49.26854207817839]], ""type"": ""LineString""}";49.26825386806955, -123.07742516311424
300;;Cast Iron;"{""coordinates"": [[-123.07740046238233, 49.26944492962743], [-123.07740810586063, 49.26906748607969]], ""type"": ""LineString""}";49.26925620785356, -123.0774042841215
400;;Steel;"{""coordinates"": [[-123.17042999138557, 49.23855876998717], [-123.1702541432544, 49.23856105320674]], ""type"": ""LineString""}";49.23855991159695, -123.17034206731998
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.11684643436286, 49.21149265509771], [-123.11684897479564, 49.21141124517087]], ""type"": ""LineString""}";49.21145195013429, -123.11684770457924
200;1928-01-01;Cast Iron;"{""coordinates"": [[-123.18597577437373, 49.23861606195672], [-123.18545579573087, 49.238614199289195]], ""type"": ""LineString""}";49.23861513062296, -123.18571578505231
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.10978063756428, 49.25391464021981], [-123.10978164029736, 49.253895857244906]], ""type"": ""LineString""}";49.25390524873236, -123.10978113893083
150;;Cast Iron;"{""coordinates"": [[-123.10483526259334, 49.26315549205264], [-123.10482384391513, 49.26359814751868]], ""type"": ""LineString""}";49.26337681978566, -123.10482955325423
200;1926-01-01;Cast Iron;"{""coordinates"": [[-123.10221456476071, 49.2803782017959], [-123.10214169128523, 49.2803770968622]], ""type"": ""LineString""}";49.280377649329054, -123.10217812802297
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.12626943556086, 49.20648945180908], [-123.12626497790453, 49.20648031746103]], ""type"": ""LineString""}";49.20648488463505, -123.12626720673269
300;1961-01-01;Cast Iron;"{""coordinates"": [[-123.12745750598482, 49.205745135387446], [-123.1269324590033, 49.205966008403514]], ""type"": ""LineString""}";49.20585557189548, -123.12719498249406
300;1930-01-01;Cast Iron;"{""coordinates"": [[-123.13452088152906, 49.234218911258644], [-123.13452010503241, 49.23423141556494]], ""type"": ""LineString""}";49.23422516341179, -123.13452049328073
300;1963-01-01;Cast Iron;"{""coordinates"": [[-123.13487929527157, 49.23427507348898], [-123.13486968098795, 49.23427553447648]], ""type"": ""LineString""}";49.23427530398273, -123.13487448812975
150;1945-01-01;Cast Iron;"{""coordinates"": [[-123.13341389374094, 49.23398167685254], [-123.13340786778697, 49.23418731530608]], ""type"": ""LineString""}";49.234084496079305, -123.13341088076396
150;1928-01-01;Cast Iron;"{""coordinates"": [[-123.1723123904256, 49.25966039388734], [-123.17035197849084, 49.25963036951058]], ""type"": ""LineString""}";49.25964538169896, -123.17133218445822
200;1968-01-01;Cast Iron;"{""coordinates"": [[-123.17016518323395, 49.25873289518634], [-123.17035760044296, 49.25873620072311]], ""type"": ""LineString""}";49.25873454795473, -123.17026139183845
200;1968-01-01;Cast Iron;"{""coordinates"": [[-123.17035760044296, 49.25873620072311], [-123.17036997087547, 49.25873663224337]], ""type"": ""LineString""}";49.258736416483245, -123.17036378565922
150;1926-01-01;Cast Iron;"{""coordinates"": [[-123.18481734223313, 49.264279404085805], [-123.18394782250999, 49.264265904612216]], ""type"": ""LineString""}";49.26427265434902, -123.18438258237157
150;1965-01-01;Cast Iron;"{""coordinates"": [[-123.10073216259951, 49.25301415944023], [-123.10070673962122, 49.253013731842145]], ""type"": ""LineString""}";49.253013945641186, -123.10071945111036
200;1959-01-01;Cast Iron;"{""coordinates"": [[-123.11488248107838, 49.26029795667711], [-123.11488395550735, 49.26028185378237]], ""type"": ""LineString""}";49.26028990522974, -123.11488321829289
300;1967-01-01;Cast Iron;"{""coordinates"": [[-123.13455871927358, 49.24156426043442], [-123.13457520689452, 49.241564780943996]], ""type"": ""LineString""}";49.24156452068921, -123.13456696308404
200;1929-01-01;Cast Iron;"{""coordinates"": [[-123.1107038436977, 49.22589145365863], [-123.11070585320302, 49.22597945241151]], ""type"": ""LineString""}";49.22593545303508, -123.11070484845035
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.1330068615322, 49.2100814558054], [-123.13303854501402, 49.209521912189466]], ""type"": ""LineString""}";49.20980168399743, -123.13302270327308
450;1928-01-01;Steel;"{""coordinates"": [[-123.11640607866111, 49.28370191568097], [-123.11650082131347, 49.28363929473835]], ""type"": ""LineString""}";49.283670605209664, -123.11645344998729
200;1947-01-01;Cast Iron;"{""coordinates"": [[-123.11535611899687, 49.28306792722429], [-123.11548621282711, 49.282981659473066]], ""type"": ""LineString""}";49.28302479334867, -123.115421165912
200;1972-01-01;Ductile Iron;"{""coordinates"": [[-123.11394909121547, 49.28529929892027], [-123.11395673810088, 49.2852939932228]], ""type"": ""LineString""}";49.28529664607154, -123.11395291465817
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.13128713827138, 49.261616638268436], [-123.1312575874152, 49.26161622208271]], ""type"": ""LineString""}";49.26161643017557, -123.13127236284329
150;;Cast Iron;"{""coordinates"": [[-123.13182680698908, 49.284808813531974], [-123.1317268791773, 49.28487486211438]], ""type"": ""LineString""}";49.28484183782318, -123.13177684308319
300;1938-01-01;Cast Iron;"{""coordinates"": [[-123.1256469476738, 49.27758131642325], [-123.12586072118876, 49.27744004826277]], ""type"": ""LineString""}";49.27751068234301, -123.12575383443128
300;1990-01-01;Ductile Iron;"{""coordinates"": [[-123.1314248273733, 49.23412369811288], [-123.13144172481614, 49.23412430855591]], ""type"": ""LineString""}";49.2341240033344, -123.13143327609473
