DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom;geo_point_2d
150;1928-01-01;Cast Iron;"{""coordinates"": [[-123.15099406475031, 49.22175590944685], [-123.15100768468459, 49.22139878825865]], ""type"": ""LineString""}";49.22157734885274, -123.15100087471744
150;1956-01-01;Cast Iron;"{""coordinates"": [[-123.07295160967342, 49.25446706189867], [-123.07295295971805, 49.25443201567257]], ""type"": ""LineString""}";49.25444953878562, -123.07295228469572
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.06162916298508, 49.26588909036264], [-123.06157684819365, 49.26588880342299]], ""type"": ""LineString""}";49.265888946892815, -123.06160300558938
150;1979-01-01;Ductile Iron;"{""coordinates"": [[-123.06225572009294, 49.22630081985301], [-123.06225589020752, 49.22629410929523]], ""type"": ""LineString""}";49.22629746457412, -123.06225580515023
200;1968-01-01;Ductile Iron;"{""coordinates"": [[-123.02458766259541, 49.27035092727193], [-123.02528824006724, 49.27035338467313]], ""type"": ""LineString""}";49.27035215597253, -123.02493795133132
200;1968-01-01;Ductile Iron;"{""coordinates"": [[-123.02531573310007, 49.270353477599855], [-123.02536552298774, 49.270353655579285]], ""type"": ""LineString""}";49.27035356658957, -123.0253406280439
200;;Cast Iron;"{""coordinates"": [[-123.11286930758895, 49.28344980854347], [-123.11288018284837, 49.28344330340376]], ""type"": ""LineString""}";49.28344655597362, -123.11287474521866
200;1996-01-01;Ductile Iron;"{""coordinates"": [[-123.12692031469716, 49.275425091788726], [-123.12686527514273, 49.27539032286237]], ""type"": ""LineString""}";49.27540770732555, -123.12689279491993
300;1960-01-01;Cast Iron;"{""coordinates"": [[-123.03100574676496, 49.28122703541573], [-123.03102479901908, 49.28104440123406]], ""type"": ""LineString""}";49.2811357183249, -123.03101527289202
300;1979-01-01;Ductile Iron;"{""coordinates"": [[-123.06540604788081, 49.24154459034802], [-123.0653846298961, 49.24150321537665]], ""type"": ""LineString""}";49.24152390286234, -123.06539533888846
150;1947-01-01;Cast Iron;"{""coordinates"": [[-123.06546937284352, 49.241485437767395], [-123.06544883334489, 49.241485080600505]], ""type"": ""LineString""}";49.241485259183946, -123.06545910309421
300;1956-01-01;Cast Iron;"{""coordinates"": [[-123.07704356618225, 49.22903513457839], [-123.07704343393716, 49.22902958459177]], ""type"": ""LineString""}";49.22903235958508, -123.07704350005972
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.07579269558892, 49.22727005751545], [-123.07579260341687, 49.22720979831727]], ""type"": ""LineString""}";49.22723992791636, -123.07579264950289
625;;Steel;"{""coordinates"": [[-123.09120102748906, 49.28025600874279], [-123.0896440707213, 49.28021489579934]], ""type"": ""LineString""}";49.280235452271064, -123.09042254910518
150;;Cast Iron;"{""coordinates"": [[-123.06552658651734, 49.27911032580683], [-123.06546273591522, 49.27910988525318]], ""type"": ""LineString""}";49.27911010553001, -123.06549466121626
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.16783508963232, 49.242221888925975], [-123.16783366953052, 49.24224878676504]], ""type"": ""LineString""}";49.24223533784551, -123.16783437958142
150;1932-01-01;Cast Iron;"{""coordinates"": [[-123.02352125751283, 49.29161356999203], [-123.02352204809618, 49.29156983536305]], ""type"": ""LineString""}";49.29159170267754, -123.0235216528045
150;1932-01-01;Cast Iron;"{""coordinates"": [[-123.02352215511945, 49.29156353872923], [-123.02352295886728, 49.29151857176026]], ""type"": ""LineString""}";49.29154105524474, -123.02352255699334
150;1927-01-01;Cast Iron;"{""coordinates"": [[-123.16486651652617, 49.2593592506192], [-123.16469195213578, 49.25935658513159]], ""type"": ""LineString""}";49.25935791787539, -123.16477923433096
200;2004-01-01;Ductile Iron;"{""coordinates"": [[-123.11302353979856, 49.284615603291485], [-123.11293451599313, 49.284674356852406]], ""type"": ""LineString""}";49.284644980071945, -123.11297902789585
200;1947-01-01;Cast Iron;"{""coordinates"": [[-123.11304855207749, 49.28459764244835], [-123.11308148969123, 49.28457589587138]], ""type"": ""LineString""}";49.28458676915986, -123.11306502088436
400;1923-01-01;Steel;"{""coordinates"": [[-123.1118289551912, 49.28390437475583], [-123.11197914949211, 49.284001611062855]], ""type"": ""LineString""}";49.28395299290934, -123.11190405234166
300;1931-01-01;Cast Iron;"{""coordinates"": [[-123.17821890049017, 49.257032638091275], [-123.17828634657707, 49.25701256464438]], ""type"": ""LineString""}";49.25702260136782, -123.17825262353361
300;1931-01-01;Cast Iron;"{""coordinates"": [[-123.17799646486777, 49.25764942341068], [-123.17799472617442, 49.257616881385395], [-123.17799472585095, 49.2576167914337]], ""type"": ""LineString""}";49.25763310748579, -123.17799559312765
150;1926-01-01;Cast Iron;"{""coordinates"": [[-123.18381472289559, 49.264263588784075], [-123.18366261306392, 49.26426096120467]], ""type"": ""LineString""}";49.26426227499437, -123.18373866797974
200;1985-01-01;Ductile Iron;"{""coordinates"": [[-123.11463458050036, 49.26527980286313], [-123.11464566558085, 49.265021584535454]], ""type"": ""LineString""}";49.26515069369929, -123.11464012304062
100;;Cast Iron;"{""coordinates"": [[-123.127109054595, 49.28822487935229], [-123.12702646494981, 49.288171997622385]], ""type"": ""LineString""}";49.28819843848734, -123.12706775977242
150;1932-01-01;Cast Iron;"{""coordinates"": [[-123.02353530755445, 49.290823261315424], [-123.02353906328082, 49.29062397275001]], ""type"": ""LineString""}";49.29072361703272, -123.02353718541764
200;1983-01-01;Ductile Iron;"{""coordinates"": [[-123.11010573238813, 49.27796377833385], [-123.11015356077873, 49.27794389836882], [-123.11020356180589, 49.27792419621549], [-123.11026664458936, 49.27790141419987], [-123.1103428109856, 49.27787639784594]], ""type"": ""LineString""}";49.27791814962884, -123.11022355503512
150;;Cast Iron;"{""coordinates"": [[-123.11408616059282, 49.27882168241246], [-123.11409679972122, 49.27881464667007]], ""type"": ""LineString""}";49.27881816454126, -123.11409148015701
150;;Cast Iron;"{""coordinates"": [[-123.11409679972122, 49.27881464667007], [-123.11433930286174, 49.27865448160973]], ""type"": ""LineString""}";49.278734564139896, -123.11421805129149
200;2005-06-22;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.05671635972541, 49.27905326113279], [-123.05666411369624, 49.27905311585681]], ""type"": ""LineString""}";49.2790531884948, -123.05669023671084
150;2005-04-20;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.07522381233579, 49.252561748393724], [-123.07521055144935, 49.252561559132204]], ""type"": ""LineString""}";49.25256165376297, -123.07521718189258
150;1995-01-01;Ductile Iron;"{""coordinates"": [[-123.04783279336051, 49.225922362302406], [-123.04779961140935, 49.22592214216056]], ""type"": ""LineString""}";49.225922252231484, -123.04781620238494
100;1908-01-01;Cast Iron;"{""coordinates"": [[-123.11413640081018, 49.2603263114106], [-123.1133520142659, 49.26031192668331], [-123.1132799254923, 49.260310603127486]], ""type"": ""LineString""}";49.26031845797053, -123.11370816313836
300;2006-10-20;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.1219986747099, 49.20512355411168], [-123.12198535191928, 49.20512659959822]], ""type"": ""LineString""}";49.205125076854955, -123.12199201331458
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.05801027303734, 49.24880521128727], [-123.05801075519612, 49.2487945427053]], ""type"": ""LineString""}";49.24879987699629, -123.05801051411673
200;;Cast Iron;"{""coordinates"": [[-123.13560050122837, 49.29132321888616], [-123.13553982641822, 49.29136351644218]], ""type"": ""LineString""}";49.29134336766417, -123.1355701638233
150;1965-01-01;Cast Iron;"{""coordinates"": [[-123.18263582612342, 49.265133873724594], [-123.18198766703864, 49.26512337358753]], ""type"": ""LineString""}";49.26512862365606, -123.18231174658104
150;1959-01-01;Cast Iron;"{""coordinates"": [[-123.09459633736793, 49.250202122934894], [-123.09434766088292, 49.250198224456724]], ""type"": ""LineString""}";49.25020017369581, -123.09447199912543
150;1932-01-01;Cast Iron;"{""coordinates"": [[-123.0687828952401, 49.23252775531239], [-123.06882469358601, 49.2312520504388]], ""type"": ""LineString""}";49.2318899028756, -123.06880379441306
150;;Cast Iron;"{""coordinates"": [[-123.07261501256373, 49.27665769895523], [-123.07279789684492, 49.27666117295809]], ""type"": ""LineString""}";49.27665943595666, -123.07270645470433
150;;Cast Iron;"{""coordinates"": [[-123.07157421384957, 49.27663765941866], [-123.07258754280153, 49.27665717650389]], ""type"": ""LineString""}";49.27664741796127, -123.07208087832555
200;1949-01-01;Cast Iron;"{""coordinates"": [[-123.14538518264673, 49.26797732373345], [-123.14443628886495, 49.26796155785175]], ""type"": ""LineString""}";49.2679694407926, -123.14491073575584
150;;Cast Iron;"{""coordinates"": [[-123.05970145575249, 49.28670809890416], [-123.05970723245667, 49.28666359682183]], ""type"": ""LineString""}";49.286685847863, -123.05970434410457
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.02371316827379, 49.28667349472175], [-123.02371334477239, 49.286668772222455]], ""type"": ""LineString""}";49.2866711334721, -123.0237132565231
150;;Cast Iron;"{""coordinates"": [[-123.11054994075694, 49.283089671130014], [-123.1100876611682, 49.28279785021048]], ""type"": ""LineString""}";49.28294376067025, -123.11031880096256
400;1949-01-01;Cast Iron;"{""coordinates"": [[-123.11012001924105, 49.28280601398367], [-123.11009756044618, 49.28279136425213]], ""type"": ""LineString""}";49.2827986891179, -123.11010878984362
400;1949-01-01;Cast Iron;"{""coordinates"": [[-123.11007793829272, 49.28277857381546], [-123.11004827784767, 49.28275922645738]], ""type"": ""LineString""}";49.28276890013642, -123.1100631080702
300;1947-01-01;Cast Iron;"{""coordinates"": [[-123.11524773564419, 49.24924302498743], [-123.11524814087436, 49.249234119306614]], ""type"": ""LineString""}";49.24923857214702, -123.11524793825927
300;1947-01-01;Cast Iron;"{""coordinates"": [[-123.11524855965658, 49.2492251326552], [-123.11525485038001, 49.249088299951566]], ""type"": ""LineString""}";49.24915671630338, -123.11525170501831
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.14610725182627, 49.256203760421144], [-123.14590419036615, 49.25620333339822]], ""type"": ""LineString""}";49.25620354690968, -123.14600572109619
200;1955-01-01;Cast Iron;"{""coordinates"": [[-123.21172031229648, 49.27376041909359], [-123.21171949552237, 49.27371091102643]], ""type"": ""LineString""}";49.27373566506001, -123.21171990390943
150;1933-01-01;Cast Iron;"{""coordinates"": [[-123.04266412867405, 49.24258459737116], [-123.04261999774715, 49.24263021951145]], ""type"": ""LineString""}";49.2426074084413, -123.0426420632106
200;1985-01-01;Ductile Iron;"{""coordinates"": [[-123.10816413921228, 49.283124977283904], [-123.10811213110404, 49.283116201687626]], ""type"": ""LineString""}";49.28312058948576, -123.10813813515816
